Date,Source,Time,Titles,gists,link,labels
2020-09-08,Times_Now,10:49:27.459486,"[""Rhea files FIR against Sushant's sisters and Dr Tarun Kumar, Mumbai police transfers it to CBI""]","[""hea has filed an FIR against Sushant's sisters Priyanka and Meetu Singh and Dr Tarun Kumar."", 'ccused are facing allegations of hatching conspiracy and giving banned drugs to Sushant without medical supervision.', 'umbai police has transferred the case to CB.']",https://www.timesnownews.com/india/article/rhea-files-an-fir-against-sushants-sisters-and-dr-tarun-kumar-mumbai-police-transfers-it-to-cbi/649220,"['FIR', 'Sushant', 'Tarun', 'Mumbai']"
2020-09-08,Times_Now,10:49:27.667422,"['International Literacy Day 2020: Andhra Pradesh worst, Delhi 2nd best – State wise literacy rate in India']","['International Literacy Day 2020: Andhra Pradesh worst, Delhi 2nd best – State wise literacy rate in India']",https://www.timesnownews.com/education/article/international-literacy-day-2020-andhra-pradesh-worst-delhi-2nd-best-state-wise-literacy-rate-in-india/649224,"['Delhi', 'State', 'India']"
2020-09-08,Times_Now,10:49:28.059943,"['Aligarh: Woman sexually harasses stepdaughters after drugging them, shows them porn videos']","['he girl also alleged that the woman, who claims to be a nurse, also showed porn videos. .', ""he complaint has been filed based on the statement of the woman's eldest stepdaughter.""]",https://www.timesnownews.com/mirror-now/crime/article/aligarh-woman-sexually-harasses-stepdaughters-after-drugging-them-shows-them-porn-videos/649268,[]
2020-09-08,Times_Now,10:49:28.483892,"['Kamala Harris will never be president, says Trump, slams Democrats’ for ‘reckless anti-vaccine rhetoric’']","['Kamala Harris will never be president, says Trump, slams Democrats’ for ‘reckless anti-vaccine rhetoric’']",https://www.timesnownews.com/international/article/kamala-harris-will-never-be-president-says-trump-slams-democrats-for-reckless-anti-vaccine-rhetoric/649190,"['Kamala Harris', 'Trump', 'Democrats']"
2020-09-08,Times_Now,10:49:28.824668,"['Delhi: Cab driver attacked with pointed key by drunk passengers, succumbs to injuries']","['CP (Central Noida) Harish Chander said the victim was never asked to chant any slogan..', 'A case under Section 302 (murder), 394 (causing hurt while committing robbery), 201 (causing disappearance of evidence) has been filed..']",https://www.timesnownews.com/mirror-now/in-focus/article/delhi-cab-driver-attacked-with-pointed-key-by-drunk-passengers-succumbs-to-injuries/649251,[]
2020-09-08,Times_Now,10:49:29.109579,"['MS Dhoni leaves Irfan Pathan surprised, does wicket-keeping drills in CSK training ahead of IPL 2020']","['S Dhoni was spotted doing wicket-keeping drills in the net session for CS.', ""honi isn't usually seen doing wicket-keeping in the nets but he hasn't been in action for more than a yea."", 'rfan Pathan and many others were left surprised seeing Dhoni keeping wickets in the net.']",https://www.timesnownews.com/sports/cricket/article/ms-dhoni-leaves-irfan-pathan-surprised-does-wicket-keeping-drills-in-csk-training-ahead-of-ipl/649208,"['Dhoni', 'Irfan Pathan', 'CSK', 'IPL', '2020']"
2020-09-08,Times_Now,10:49:29.315103,['First batch of Russian coronavirus vaccine released into public'],"['he world’s first vaccine against COVID-19, Sputnik V, was registered on August 11 by the Russian governmen.', 'ussia says at least 20 countries have expressed their interest in obtaining the coronavirus vaccin.', 'putnik V vaccine was developed by the Gamaleya National Research Center of Epidemiology and Microbiology and the Russian Direct Investment Fun.']",https://www.timesnownews.com/health/article/first-batch-of-russian-coronavirus-vaccine-released-into-public/649196,['Russian']
2020-09-08,Times_Now,10:49:29.504431,"['SBI Voluntary Retirement Scheme 2020: Eligibility, salary, pension, other benefits']","['SBI Voluntary Retirement Scheme 2020: Eligibility, salary, pension, other benefits']",https://www.timesnownews.com/business-economy/companies/article/sbi-voluntary-retirement-scheme-2020-eligibility-salary-pension-other-benefits/649161,['SBI']
2020-09-08,Times_Now,10:49:29.752932,['Poco X3 NFC with Snapdragon 732G SoC and 120Hz display is here'],"['he device comes in Shadow Grey and Cobalt Blue colour.', 'he 6.67-inch full-HD+ 120Hz screen comes with DybamicSwtich featur.']",https://www.timesnownews.com/technology-science/article/poco-x3-nfc-with-snapdragon-732g-soc-and-120hz-display-is-here/649272,"['Poco X3 NFC', 'Snapdragon', '732G SoC']"
2020-09-08,Times_Now,10:49:29.923334,"['China acted in an open and transparent manner on coronavirus outbreak, says President Xi Jinping']","['China acted in an open and transparent manner on coronavirus outbreak, says President Xi Jinping']",https://www.timesnownews.com/international/article/china-acted-in-an-open-and-transparent-manner-on-coronavirus-outbreak-says-president-xi-jinping/649270,"['China', 'Xi Jinping']"
2020-09-08,Times_Now,10:49:30.313861,"['ENG vs AUS, 3rd T20I live streaming: When and where to watch England vs Australia match online']","['ENG vs AUS, 3rd T20I live streaming: When and where to watch England vs Australia match online']",https://www.timesnownews.com/sports/cricket/article/eng-vs-aus-3rd-t20i-live-streaming-when-and-where-to-watch-england-vs-australia-match-online/649235,"['ENG', 'AUS', 'England', 'Australia']"
2020-09-08,Times_Now,10:49:30.735274,"['DU OBE Phase 2: Delhi University releases guidelines for Open Book, Physical exams scheduled from September 14']","['DU OBE Phase 2: Delhi University releases guidelines for Open Book, Physical exams scheduled from September 14']",https://www.timesnownews.com/education/article/du-obe-phase-2-delhi-university-releases-guidelines-for-open-book-physical-exams-scheduled-from-september/649260,"['Delhi University', 'Open Book']"
2020-09-08,Republic TV,10:49:31.330411,"[""CBI To Probe Rhea Chakraborty's Complaint On Sushant's Sister: Mumbai Police""]","[""A day after Rhea Chakraborty filed a complaint against Sushant Singh Rajput 's sister Priyanka Singh and Ram Manohar Lohia Hospital authorities over bogus medical prescription , a case has been registered at Bandra Police Station ."", 'Mumbai Police said that the case is registered under IPC section 420 , 464 , 465 , 466 , 468 , 474 , 306 , 120B , 34 and r/w Sec 8 ( c ) , 21 , 22 ( A ) , 29 of NDPS Act .', ""Mumbai Police further said that in line with orders of the Supreme Court 's verdict , the case is transferred to CBI for further investigation .""]",https://www.republicworld.com/india-news/law-and-order/cbi-to-probe-rheas-complaint-on-sushants-sister-mumbai-police.html,"['CBI', ""Probe Rhea Chakraborty's"", ""Complaint On Sushant's""]"
2020-09-08,Republic TV,10:49:31.893857,"[""Saudi Court Overturns Death Sentence Of Jamal Khashoggi's Killers; Fiancee Calls It Farce""]","[""After numerous denials , pressure from Turkey and international media , on September 26 , 2019 , Saudi's Crown Prince MbS said that he bears the responsibility for the killing of Khashoggi , considering it happened 'under his watch . '"", '`` It happened under my watch .', 'While his disappearance remains a mystery , there were reports afloat claiming that Saud al-Qahtani was poisoned to death by Mohammed bin Salman .']",https://www.republicworld.com/india-news/general-news/saudi-overturns-death-sentences-of-jamal-khashoggis-killers.html,"['Killers', 'Fiancee Calls It Farce']"
2020-09-08,Republic TV,10:49:32.363394,"[""Andhra Minister Refutes Chandrababu Naidu's Claims, Calls Him 'expert In Spreading Lies'""]","[""Andhra Pradesh Irrigation Minister P Anil Kumar took a dig at the Telugu Desam Party ( TDP ) chief N Chandrababu Naidu , on Monday , and called him an 'expert in spreading lies ' ."", ""Speaking about the Gandikota project , the YSR Congress Party minister said that Chandrababu Naidu is creating 'conspiracies ' which will be refuted by the Andhra Pradesh government ."", 'The Andhra Irrigation Minister went on to say that the Gandikota project was completed by the former CM YS Rajasekhar Reddy but the R & R ( Rehabilitation and Resettlement ) was pending which is being handled by the current CM YS Jaganmohan Reddy .']",https://www.republicworld.com/india-news/politics/andhra-minister-refutes-chandrababu-naidus-claims-calls-him-expert.html,"[""Refutes Chandrababu Naidu's Claims"", ""Calls Him '"", ""Spreading Lies'""]"
